BGC,KG,Tave,PPT
SBS un,Dfc,"[-11.1, -7.54, -3.47, 2.57, 7.6, 11.76, 13.39, 12.52, 8.22, 2.25, -5.46, -9.33]","[143.72, 96.28, 83.4, 50.71, 46.68, 44.14, 66.85, 75.11, 145.82, 159.55, 127.54, 139.54]"
SBS vk,Dfc,"[-8.64, -5.91, -2.42, 2.92, 7.84, 12.0, 14.31, 13.69, 9.39, 3.32, -3.27, -7.78]","[112.88, 68.52, 90.2, 69.27, 66.98, 95.55, 83.28, 77.85, 87.53, 122.64, 131.94, 114.1]"
SBS wk 1,Dfc,"[-8.49, -5.56, -2.24, 3.03, 8.05, 12.07, 14.4, 13.85, 9.53, 3.35, -3.26, -7.66]","[97.08, 56.03, 65.75, 55.06, 59.35, 82.76, 69.61, 64.54, 69.42, 94.32, 103.91, 93.23]"
SBS wk 2,Dfc,"[-10.81, -8.25, -4.45, 1.97, 7.04, 11.51, 13.71, 12.9, 8.45, 2.45, -4.97, -9.53]","[82.07, 54.91, 65.0, 44.23, 48.07, 78.38, 71.44, 58.49, 60.08, 80.68, 95.0, 86.42]"
SBS wk 3,Dfc,"[-9.79, -6.74, -3.23, 2.32, 7.15, 11.01, 13.28, 12.7, 8.4, 2.53, -4.2, -8.55]","[61.46, 36.27, 36.8, 32.73, 43.89, 68.47, 52.96, 54.63, 49.18, 68.73, 72.87, 72.44]"
SWB mk,Dfc,"[-12.71, -9.67, -7.27, -0.63, 4.81, 9.44, 11.29, 10.38, 5.87, -0.53, -8.4, -11.44]","[45.46, 32.68, 35.15, 34.07, 55.09, 85.6, 88.06, 79.15, 63.7, 56.32, 56.45, 55.77]"
SWB mks,ET,"[-11.45, -9.27, -8.03, -2.17, 3.09, 7.39, 9.16, 8.62, 4.19, -2.05, -8.58, -10.61]","[63.8, 45.51, 46.59, 45.31, 56.91, 81.41, 90.15, 89.57, 84.29, 77.39, 78.13, 80.49]"
SWB un,Dsc,"[-13.82, -10.74, -8.08, -1.23, 4.59, 9.23, 10.98, 10.09, 5.37, -0.85, -8.91, -12.13]","[59.62, 45.5, 36.47, 19.57, 31.09, 50.53, 77.0, 72.02, 76.64, 70.98, 69.45, 63.21]"
SWB uns,ET,"[-13.16, -10.57, -8.88, -2.5, 3.46, 8.08, 9.81, 9.03, 4.3, -1.87, -9.13, -11.72]","[68.6, 54.13, 41.19, 22.2, 34.93, 57.17, 83.95, 79.19, 85.92, 82.2, 82.77, 70.78]"
SWB vk,Dfc,"[-7.84, -6.08, -4.09, 1.02, 5.73, 9.7, 11.31, 10.7, 6.78, 1.47, -4.36, -6.61]","[359.74, 227.6, 156.76, 90.17, 94.76, 98.55, 129.38, 179.97, 250.48, 367.29, 303.31, 290.45]"
SWB vks,ET,"[-9.67, -7.83, -5.79, -0.59, 4.11, 8.17, 9.87, 9.32, 5.24, -0.18, -6.08, -8.36]","[506.53, 317.75, 222.42, 124.92, 116.23, 110.94, 142.82, 208.25, 307.46, 507.16, 416.7, 405.78]"
