BGC,KG,Tave,PPT
CWH wh 2,Cfc,"[1.07, 1.24, 1.51, 4.07, 6.92, 9.97, 12.27, 13.1, 10.6, 6.33, 2.47, 0.71]","[375.33, 259.76, 286.33, 215.89, 115.0, 94.74, 72.91, 114.09, 208.55, 435.97, 389.04, 421.54]"
CWH wm,Dfc,"[-5.95, -3.65, -0.4, 4.33, 8.86, 12.38, 13.81, 13.41, 9.42, 4.35, -1.3, -4.48]","[221.75, 156.36, 144.08, 93.16, 80.79, 68.97, 78.55, 121.27, 230.68, 283.44, 237.52, 248.37]"
CWH ws 1,Dfb,"[-3.41, -1.11, 1.83, 6.14, 10.22, 13.74, 15.87, 15.84, 11.78, 6.04, 0.76, -2.28]","[168.35, 120.3, 100.51, 76.89, 55.07, 57.04, 55.33, 71.76, 122.13, 219.73, 214.87, 213.09]"
CWH ws 2,Dfc,"[-5.31, -3.41, -0.64, 3.62, 7.72, 11.24, 13.51, 13.44, 9.61, 3.95, -1.57, -4.73]","[190.15, 128.81, 120.77, 94.91, 70.22, 69.46, 62.16, 85.45, 131.3, 253.51, 251.57, 217.89]"
CWH xm 1,Cfb,"[3.02, 3.73, 5.47, 8.36, 11.86, 14.8, 17.52, 17.51, 14.55, 9.35, 5.12, 2.57]","[221.9, 134.17, 154.4, 100.21, 73.7, 57.94, 37.52, 49.62, 66.35, 167.38, 236.51, 214.15]"
CWH xm 2,Cfb,"[2.03, 2.63, 4.25, 7.17, 10.7, 13.68, 16.44, 16.59, 13.79, 8.47, 4.11, 1.53]","[326.83, 213.36, 233.27, 153.38, 88.8, 67.26, 43.51, 65.69, 86.12, 257.08, 373.24, 323.46]"
ESSFdc 1,Dfc,"[-6.54, -6.0, -3.38, 0.59, 5.24, 8.48, 13.07, 12.77, 8.82, 2.08, -4.1, -7.22]","[107.14, 74.78, 98.86, 71.09, 81.15, 88.7, 55.66, 42.31, 56.39, 92.19, 125.6, 110.89]"
ESSFdc 2,Dfc,"[-5.86, -5.1, -2.64, 1.13, 5.41, 8.61, 12.61, 12.54, 9.04, 2.76, -3.52, -6.46]","[114.23, 69.64, 87.25, 63.18, 64.95, 67.82, 44.05, 34.8, 41.67, 88.67, 137.11, 111.33]"
ESSFdc 3,Dfc,"[-7.08, -5.95, -3.13, 1.28, 6.09, 9.47, 12.7, 12.48, 8.64, 2.21, -4.14, -7.62]","[70.34, 46.97, 63.02, 45.22, 64.89, 76.25, 64.46, 46.67, 48.12, 63.32, 84.07, 78.17]"
ESSFdcp,Dfc,"[-7.56, -7.37, -5.42, -1.55, 3.01, 6.24, 10.17, 10.26, 6.72, 0.38, -5.36, -8.11]","[114.9, 75.04, 101.77, 69.48, 74.18, 90.95, 61.83, 52.27, 51.77, 104.96, 136.75, 120.05]"
