BGC,KG,Tave,PPT
CWH ws 1,Dfb,"[-4.66, -1.39, 1.82, 5.45, 9.49, 12.98, 15.44, 15.41, 11.44, 6.1, 0.22, -3.57]","[188.93, 148.12, 98.82, 73.25, 55.74, 49.79, 53.86, 69.15, 123.3, 236.93, 207.41, 212.99]"
CWH ws 2,Dfc,"[-6.63, -3.71, -0.7, 3.04, 7.08, 10.57, 13.04, 12.96, 9.21, 4.04, -2.06, -5.9]","[209.82, 158.01, 115.87, 87.56, 68.47, 61.39, 62.07, 79.91, 134.95, 264.71, 237.55, 219.74]"
CWH xm 1,Cfb,"[1.74, 3.48, 5.15, 7.85, 11.32, 14.47, 16.83, 16.91, 13.87, 9.19, 4.65, 2.12]","[206.2, 168.64, 141.7, 87.56, 68.2, 51.9, 40.4, 49.25, 73.45, 158.88, 229.83, 236.5]"
CWH xm 2,Cfb,"[0.86, 2.36, 3.95, 6.68, 10.16, 13.28, 15.79, 16.04, 13.16, 8.33, 3.63, 1.14]","[309.36, 261.75, 214.85, 137.54, 85.87, 62.59, 46.77, 61.04, 98.46, 255.22, 360.68, 349.12]"
ESSFdc 1,Dfc,"[-8.17, -6.1, -3.71, 0.44, 4.95, 8.81, 12.37, 12.32, 7.99, 2.12, -4.34, -7.83]","[112.32, 93.77, 78.92, 64.17, 71.95, 71.05, 53.01, 62.43, 60.78, 84.55, 112.27, 132.15]"
ESSFdc 2,Dfc,"[-7.43, -5.35, -2.99, 0.78, 4.92, 8.75, 11.83, 11.97, 8.14, 2.73, -3.81, -7.23]","[118.29, 83.4, 68.98, 59.23, 57.0, 53.72, 42.71, 47.05, 47.66, 73.6, 117.59, 133.0]"
ESSFdc 3,Dfc,"[-8.95, -6.34, -3.43, 1.03, 5.76, 9.59, 12.03, 12.07, 7.91, 2.4, -4.5, -8.56]","[79.96, 57.33, 46.16, 43.21, 55.11, 58.16, 60.33, 59.61, 52.63, 52.73, 71.16, 95.43]"
ESSFdcp,ET,"[-9.28, -7.66, -5.74, -1.8, 2.66, 6.41, 9.49, 9.82, 5.94, 0.45, -5.69, -8.9]","[123.42, 92.81, 78.99, 65.13, 64.06, 71.23, 58.84, 68.86, 56.56, 90.01, 119.66, 144.72]"
ESSFdcw,Dfc,"[-8.91, -7.16, -5.01, -1.0, 3.49, 7.35, 10.78, 10.9, 6.73, 1.07, -5.24, -8.47]","[122.74, 99.11, 83.58, 69.1, 75.29, 74.81, 57.88, 66.16, 64.6, 88.96, 119.67, 141.75]"
ESSFdh 1,Dfc,"[-6.07, -3.35, -0.78, 3.09, 6.87, 10.7, 13.75, 13.77, 9.85, 4.53, -2.05, -6.26]","[175.45, 120.58, 85.91, 88.32, 56.59, 46.94, 40.03, 39.41, 52.37, 104.13, 165.87, 186.09]"
ESSFdh 2,Dfc,"[-6.28, -3.71, -1.03, 2.78, 7.03, 10.84, 13.42, 13.4, 9.82, 4.2, -2.3, -6.18]","[119.94, 86.39, 62.27, 42.0, 40.67, 34.03, 34.75, 41.81, 52.59, 92.91, 122.5, 121.1]"
ESSFdk 1,Dfc,"[-9.82, -6.74, -4.1, 0.39, 5.01, 9.17, 12.6, 12.48, 7.61, 2.07, -5.15, -9.34]","[131.13, 86.95, 82.8, 69.89, 85.49, 92.69, 57.74, 55.65, 61.54, 70.41, 106.21, 116.63]"
ESSFdk 2,Dfc,"[-11.02, -7.86, -4.85, -0.08, 4.64, 8.77, 11.69, 11.52, 6.67, 1.15, -6.3, -10.55]","[95.69, 66.82, 56.2, 63.51, 70.05, 89.88, 75.61, 72.65, 65.73, 67.66, 87.0, 109.79]"
ESSFdkp,ET,"[-11.8, -9.52, -7.39, -3.06, 1.81, 5.89, 8.97, 9.12, 4.31, -1.03, -7.84, -11.35]","[126.08, 85.53, 77.94, 80.24, 87.06, 109.48, 89.88, 86.43, 80.78, 88.71, 112.34, 139.69]"
ESSFdkw,Dfc,"[-11.12, -8.57, -6.23, -1.83, 2.97, 7.08, 10.28, 10.32, 5.57, 0.1, -6.9, -10.66]","[138.5, 92.76, 83.86, 77.79, 87.56, 104.23, 77.86, 75.14, 74.09, 86.07, 115.68, 135.92]"
ESSFdv 1,Dfc,"[-7.38, -5.56, -3.76, -0.03, 4.2, 7.84, 10.54, 10.71, 7.39, 1.84, -4.51, -7.45]","[126.68, 89.85, 63.71, 45.23, 45.48, 36.81, 38.33, 45.73, 51.05, 95.92, 127.85, 128.3]"
ESSFdv 2,Dfc,"[-7.95, -6.05, -4.32, -0.67, 3.78, 7.39, 10.15, 10.15, 7.05, 1.66, -4.87, -8.02]","[144.79, 105.0, 83.64, 59.41, 52.11, 44.86, 47.62, 47.97, 58.24, 121.15, 159.42, 141.28]"
ESSFdvp,ET,"[-8.53, -7.35, -6.28, -2.89, 1.4, 4.91, 7.69, 8.0, 5.05, -0.25, -6.32, -8.67]","[161.16, 115.56, 89.48, 65.65, 55.59, 46.91, 46.44, 53.14, 61.2, 134.06, 175.09, 159.97]"
ESSFdvw,ET,"[-7.98, -6.53, -5.24, -1.65, 2.66, 6.2, 8.97, 9.17, 6.11, 0.69, -5.55, -8.14]","[150.09, 107.91, 83.49, 60.04, 52.93, 44.22, 44.8, 51.05, 59.21, 123.21, 161.71, 149.37]"
ESSFmc,Dfc,"[-11.33, -8.19, -4.91, -0.1, 4.61, 8.39, 10.81, 10.43, 6.46, 1.09, -6.36, -10.43]","[100.2, 65.13, 55.08, 41.57, 44.37, 53.75, 61.17, 62.04, 74.39, 108.28, 93.98, 97.88]"
ESSFmcp,ET,"[-11.97, -9.44, -7.03, -2.39, 2.58, 6.36, 8.68, 8.39, 4.43, -0.96, -7.97, -11.15]","[137.64, 94.23, 78.63, 55.06, 51.84, 58.85, 74.81, 79.57, 99.41, 147.01, 127.49, 135.18]"
ESSFmh,Dfc,"[-7.41, -4.95, -2.17, 2.25, 6.69, 10.55, 14.03, 13.94, 9.42, 3.4, -3.09, -7.01]","[104.19, 82.28, 73.76, 57.28, 64.63, 66.47, 52.57, 59.14, 52.7, 79.88, 106.69, 125.88]"
ESSFmk,Dfc,"[-8.89, -6.19, -3.19, 0.86, 4.83, 8.51, 11.27, 11.42, 7.8, 2.55, -4.03, -8.23]","[167.25, 122.18, 90.4, 66.58, 54.54, 47.65, 48.28, 62.66, 101.06, 178.83, 173.09, 157.53]"
ESSFmkp,ET,"[-8.97, -6.48, -4.43, -0.81, 3.19, 6.61, 9.42, 9.74, 6.43, 1.2, -5.0, -8.51]","[229.25, 168.51, 129.18, 97.45, 71.56, 57.78, 54.57, 81.79, 131.72, 255.81, 241.45, 227.72]"
ESSFmm 1,Dfc,"[-10.41, -7.12, -4.21, 0.44, 5.09, 9.11, 11.46, 11.44, 6.82, 1.43, -5.73, -9.79]","[149.59, 104.63, 87.29, 67.63, 67.66, 77.98, 100.87, 95.71, 97.04, 123.03, 138.66, 144.34]"
ESSFmm 2,Dfc,"[-11.06, -7.78, -4.21, 0.52, 5.41, 9.13, 11.79, 11.55, 7.05, 1.24, -6.45, -10.75]","[159.35, 104.31, 75.44, 70.23, 52.56, 65.88, 71.18, 69.15, 65.69, 96.77, 137.67, 168.54]"
ESSFmmp,ET,"[-11.2, -8.46, -6.12, -1.76, 3.03, 6.91, 9.33, 9.53, 5.02, -0.42, -7.3, -10.62]","[176.82, 125.03, 100.0, 79.51, 69.6, 81.44, 104.07, 98.75, 99.93, 139.88, 166.33, 175.55]"
ESSFmmw,Dfc,"[-11.15, -8.79, -5.94, -1.33, 3.71, 7.26, 10.1, 9.99, 5.53, -0.21, -7.43, -10.84]","[184.25, 121.5, 93.5, 87.24, 63.62, 82.16, 81.05, 80.59, 72.91, 113.92, 160.13, 200.64]"
ESSFmv 1,Dfc,"[-10.39, -7.33, -4.19, 0.45, 4.98, 8.77, 11.33, 11.05, 7.28, 1.98, -5.28, -9.73]","[67.45, 37.8, 40.3, 26.25, 40.51, 61.59, 58.42, 52.93, 51.01, 67.11, 69.2, 71.95]"
ESSFmv 2,Dfc,"[-11.44, -9.32, -5.99, -0.02, 5.21, 9.33, 11.69, 11.19, 6.6, 1.82, -6.28, -10.95]","[118.94, 84.44, 85.61, 60.57, 61.6, 88.46, 94.56, 77.71, 79.52, 114.94, 123.27, 124.01]"
ESSFmv 3,Dfc,"[-12.92, -9.53, -6.17, -0.54, 4.67, 8.08, 10.54, 10.0, 5.84, 0.79, -7.24, -11.89]","[82.5, 55.28, 45.59, 40.5, 55.24, 71.35, 63.08, 64.91, 55.83, 84.46, 82.67, 83.92]"
ESSFmv 4,Dfc,"[-13.55, -10.47, -7.47, -1.36, 4.26, 8.62, 10.85, 10.16, 5.56, -0.01, -8.41, -12.32]","[54.35, 41.25, 37.84, 35.45, 51.22, 72.32, 83.8, 71.26, 61.4, 62.17, 57.5, 57.48]"
ESSFmvp,ET,"[-12.74, -10.26, -7.98, -2.82, 2.56, 6.38, 8.75, 8.45, 4.23, -1.06, -8.27, -12.08]","[88.71, 61.68, 54.59, 47.81, 57.8, 79.5, 81.94, 77.65, 67.04, 94.97, 91.32, 90.86]"
ESSFmw,Dfc,"[-7.02, -4.81, -2.79, 0.86, 4.98, 8.52, 11.21, 11.35, 7.94, 2.73, -3.65, -6.94]","[192.71, 134.77, 110.15, 81.09, 54.8, 48.47, 47.75, 54.48, 77.13, 167.18, 210.26, 197.48]"
ESSFmw 1,Dfc,"[-6.26, -4.26, -2.24, 1.43, 5.23, 8.98, 12.26, 12.37, 8.72, 3.42, -3.05, -6.31]","[201.79, 136.63, 101.35, 96.76, 65.17, 54.57, 46.94, 45.72, 61.18, 120.69, 196.98, 211.12]"
ESSFmw 2,Dfc,"[-6.69, -4.65, -2.65, 0.93, 5.06, 8.76, 11.37, 11.59, 8.29, 2.7, -3.64, -6.67]","[140.72, 104.68, 75.39, 55.68, 47.37, 40.76, 39.62, 47.59, 60.26, 109.84, 142.39, 143.96]"
ESSFmwp,ET,"[-7.59, -6.2, -4.93, -1.5, 2.61, 6.04, 8.78, 9.17, 6.07, 0.74, -5.41, -7.79]","[182.03, 134.11, 106.7, 74.97, 57.18, 46.21, 49.37, 55.56, 69.95, 158.1, 195.47, 190.2]"
ESSFmww,Dfc,"[-6.86, -5.25, -3.7, -0.26, 3.75, 7.33, 10.33, 10.63, 7.26, 1.87, -4.38, -6.9]","[185.65, 132.52, 100.02, 84.61, 61.0, 51.63, 47.95, 50.7, 66.26, 128.62, 187.3, 192.84]"
ESSFun,Dfc,"[-11.35, -8.11, -4.68, 0.06, 4.72, 8.57, 10.81, 10.15, 6.24, 0.77, -6.62, -10.47]","[190.5, 135.57, 108.28, 66.94, 60.63, 53.82, 72.52, 96.52, 150.23, 228.95, 170.18, 185.81]"
ESSFunp,ET,"[-11.32, -8.81, -6.16, -1.48, 3.23, 7.01, 9.3, 8.88, 4.92, -0.58, -7.69, -10.81]","[224.67, 154.4, 121.46, 80.02, 67.24, 55.35, 79.53, 105.33, 169.37, 259.2, 201.6, 215.84]"
ESSFvc,Dfc,"[-9.31, -6.38, -3.36, 1.03, 5.86, 9.48, 12.6, 12.46, 7.85, 1.4, -5.35, -8.98]","[225.04, 158.35, 119.28, 94.51, 74.19, 85.49, 97.95, 92.21, 97.39, 160.81, 205.35, 248.97]"
