BGC,KG,Tave,PPT
SBS un,Dfc,"[-12.62, -8.27, -3.35, 1.85, 6.74, 10.81, 12.97, 12.09, 8.03, 2.37, -6.17, -10.76]","[144.93, 102.5, 85.09, 53.43, 47.09, 42.45, 62.25, 68.2, 133.43, 171.42, 121.42, 143.46]"
SBS vk,Dfc,"[-10.56, -6.59, -2.83, 2.61, 7.61, 11.63, 13.87, 13.3, 8.73, 3.72, -4.06, -9.31]","[114.55, 86.35, 78.38, 57.44, 63.78, 83.24, 81.7, 84.17, 94.29, 120.85, 114.84, 121.23]"
SBS wk 1,Dfc,"[-10.39, -6.24, -2.57, 2.72, 7.79, 11.64, 13.92, 13.45, 8.89, 3.71, -4.02, -9.16]","[95.23, 69.17, 58.66, 44.11, 56.75, 71.62, 68.73, 70.3, 73.56, 91.07, 90.33, 98.23]"
SBS wk 2,Dfc,"[-12.59, -9.32, -4.96, 1.51, 6.7, 11.02, 13.26, 12.47, 7.78, 2.74, -5.81, -11.14]","[81.26, 64.81, 59.12, 39.14, 49.04, 67.76, 71.17, 58.78, 63.78, 81.56, 83.3, 86.05]"
SBS wk 3,Dfc,"[-11.44, -7.48, -3.43, 1.81, 6.65, 10.37, 12.91, 12.29, 8.0, 2.87, -4.79, -10.04]","[68.02, 44.73, 36.16, 28.47, 42.67, 55.59, 53.81, 55.4, 49.59, 69.45, 65.31, 72.68]"
SWB mk,Dfc,"[-14.24, -10.92, -7.62, -1.3, 4.31, 8.79, 10.88, 10.01, 5.36, -0.25, -9.14, -12.97]","[48.87, 35.92, 35.94, 32.78, 57.53, 76.7, 91.2, 76.56, 64.52, 57.63, 49.57, 54.06]"
SWB mks,ET,"[-12.86, -10.34, -8.21, -2.79, 2.51, 6.64, 8.76, 8.25, 3.79, -1.75, -9.22, -12.15]","[69.77, 51.09, 49.02, 42.6, 58.5, 72.9, 91.38, 87.85, 82.8, 79.35, 70.1, 79.35]"
SWB un,Dsc,"[-15.45, -11.78, -8.04, -2.03, 3.68, 8.2, 10.51, 9.62, 5.06, -0.67, -9.66, -13.87]","[59.26, 47.1, 38.36, 20.39, 31.57, 49.79, 74.48, 67.25, 72.83, 73.62, 64.0, 64.98]"
SWB uns,ET,"[-14.96, -11.68, -8.86, -3.34, 2.52, 7.03, 9.33, 8.53, 3.96, -1.73, -9.92, -13.53]","[66.16, 55.68, 43.36, 23.54, 34.84, 55.76, 81.4, 74.42, 83.18, 84.98, 75.85, 72.94]"
SWB vk,Dfc,"[-9.75, -7.24, -4.2, 0.21, 4.67, 8.56, 10.7, 10.05, 6.3, 1.39, -5.28, -8.27]","[332.34, 226.04, 173.76, 107.47, 102.31, 109.34, 133.91, 157.04, 240.24, 406.48, 308.07, 309.38]"
SWB vks,ET,"[-11.56, -8.97, -5.92, -1.4, 3.06, 7.03, 9.26, 8.67, 4.77, -0.27, -7.0, -10.01]","[468.97, 315.99, 245.46, 148.45, 126.13, 123.55, 147.77, 181.27, 294.01, 561.54, 423.52, 432.67]"
